      415	2026-03-02 11:27:31	1	255	1	0
      415	2026-03-02 11:38:26	1	255	1	0
      385	2026-03-02 15:08:51	1	255	15	0
      385	2026-03-02 16:01:33	1	255	15	0
      402	2026-03-02 18:35:13	1	255	1	0
      337	2026-03-02 18:54:32	1	255	15	0
      402	2026-03-02 19:05:22	1	255	1	0
      406	2026-03-02 19:05:55	1	255	1	0
      406	2026-03-02 19:50:54	1	255	1	0
      337	2026-03-02 20:08:06	1	255	15	0
      415	2026-03-03 09:18:05	1	255	1	0
      415	2026-03-03 10:00:06	1	255	1	0
      250	2026-03-03 12:18:55	1	255	15	0
      415	2026-03-03 12:50:30	1	255	1	0
      415	2026-03-03 12:59:52	1	255	1	0
      250	2026-03-03 13:39:34	1	255	15	0
      402	2026-03-03 19:01:10	1	255	1	0
      402	2026-03-03 19:37:43	1	255	1	0
      415	2026-03-04 08:39:32	1	255	1	0
      415	2026-03-04 09:17:59	1	255	1	0
      406	2026-03-04 15:11:32	1	255	1	0
      406	2026-03-04 15:58:36	1	255	1	0
      402	2026-03-04 19:07:41	1	255	1	0
      402	2026-03-04 19:38:11	1	255	1	0
      415	2026-03-06 11:31:12	1	255	1	0
      415	2026-03-06 12:14:02	1	255	1	0
      402	2026-03-06 18:41:00	1	255	1	0
      402	2026-03-06 19:18:30	1	255	1	0
      402	2026-03-09 18:53:23	1	255	1	0
      402	2026-03-09 19:21:27	1	255	1	0
      385	2026-03-10 10:52:00	1	255	15	0
      415	2026-03-10 11:26:42	1	255	1	0
      385	2026-03-10 11:42:17	1	255	15	0
      250	2026-03-10 11:49:25	1	255	15	0
      415	2026-03-10 11:51:01	1	255	1	0
      250	2026-03-10 12:27:03	1	255	15	0
      337	2026-03-10 18:53:44	1	255	15	0
      402	2026-03-10 18:54:02	1	255	1	0
      406	2026-03-10 19:03:37	1	255	1	0
      402	2026-03-10 19:39:06	1	255	1	0
      337	2026-03-10 19:57:40	1	255	15	0
      406	2026-03-10 20:00:43	1	255	1	0
      250	2026-03-11 12:32:03	1	255	15	0
      250	2026-03-11 14:01:30	1	255	15	0
      415	2026-03-12 11:34:13	1	255	1	0
      250	2026-03-12 11:48:06	1	255	15	0
      415	2026-03-12 12:07:14	1	255	1	0
      250	2026-03-12 12:53:42	1	255	15	0
      385	2026-03-12 16:07:34	1	255	15	0
      385	2026-03-12 16:39:15	1	255	15	0
